numero,data_pedido,hora_pedido,cliente,endereco,telefone,tipo_entrega,valor_pizza,valor_borda,valor_refrigerante,valor_entrega,valor_total,hora_entrega,tempo
24,2011-10-08,18:10:00,"Cliente 24","Endereco 24",00-000-0023,Entrega,30,0,0,2.5,32.5,18:30:00,00:20:00
25,2011-10-08,18:13:00,"Cliente 25","Endereco 25",00-000-0024,Entrega,18,0,0,2.5,20.5,18:42:00,00:29:00
26,2011-10-08,18:15:00,"Cliente 26","Endereco 26",00-000-0025,Entrega,17,0,0,2.5,19.5,18:50:00,00:35:00
27,2011-10-08,18:48:00,"Cliente 27","Endereco 27",00-000-0026,Buscar,30,2.5,0,0,32.5,19:26:00,00:38:00
28,2011-10-08,18:55:00,"Cliente 28","Endereco 28",00-000-0027,Buscar,22,0,0,0,22,19:15:00,00:20:00
29,2011-10-08,19:25:00,"Cliente 29","Endereco 29",00-000-0028,Buscar,19,0,4.5,0,23.5,19:50:00,00:25:00
30,2011-10-08,19:30:00,"Cliente 30","Endereco 30",00-000-0029,Entrega,18,0,0,2.5,20.5,20:03:00,00:33:00
31,2011-10-08,19:35:00,"Cliente 31","Endereco 31",00-000-0030,Entrega,27,0,4.5,2.5,34,20:10:00,00:35:00
32,2011-10-08,20:07:00,"Cliente 32","Endereco 32",00-000-0031,Entrega,26,0,0,2.5,28.5,20:35:00,00:28:00
33,2011-10-08,20:07:00,"Cliente 33","Endereco 33",00-000-0032,Buscar,28,0,0,0,28,20:35:00,00:28:00
34,2011-10-08,20:14:00,"Cliente 34","Endereco 34",00-000-0033,Entrega,23,0,0,2.5,25.5,20:50:00,00:36:00
35,2011-10-08,20:20:00,"Cliente 35","Endereco 35",00-000-0034,Entrega,19,0,0,2.5,21.5,20:45:00,00:25:00
36,2011-10-08,20:20:00,"Cliente 36","Endereco 36",00-000-0035,Entrega,31,0,0,2.5,33.5,21:00:00,00:40:00
37,2011-10-08,20:23:00,"Cliente 37","Endereco 37",00-000-0036,Entrega,30,0,0,2.5,32.5,21:00:00,00:37:00
38,2011-10-08,20:25:00,"Cliente 38","Endereco 38",00-000-0037,Entrega,32,0,4.5,2.5,39,21:14:00,00:49:00
39,2011-10-08,20:44:00,"Cliente 39","Endereco 39",00-000-0038,Entrega,21,0,0,2.5,23.5,21:24:00,00:40:00
40,2011-10-08,20:58:00,"Cliente 40","Endereco 40",00-000-0039,Entrega,28,0,0,4,32,21:36:00,00:38:00
41,2011-10-08,20:58:00,"Cliente 41","Endereco 41",00-000-0040,Entrega,32,0,4.5,2.5,39,21:48:00,00:50:00
42,2011-10-08,21:08:00,"Cliente 42","Endereco 42",00-000-0041,Entrega,28,0,0,2.5,30.5,21:48:00,00:40:00
43,2011-10-08,21:08:00,"Cliente 43","Endereco 43",00-000-0042,Entrega,27,0,0,2.5,29.5,21:50:00,00:42:00
44,2011-10-08,21:08:00,"Cliente 44","Endereco 44",00-000-0043,Entrega,28,0,0,2.5,30.5,21:55:00,00:47:00
45,2011-10-08,21:15:00,"Cliente 45","Endereco 45",00-000-0044,Entrega,31,2.5,0,2.5,36,22:10:00,00:55:00
46,2011-10-08,21:30:00,"Cliente 46","Endereco 46",00-000-0045,Entrega,21,0,0,2.5,23.5,22:20:00,00:50:00
47,2011-10-08,21:47:00,"Cliente 47","Endereco 47",00-000-0046,Entrega,27,0,0,2.5,29.5,22:15:00,00:28:00
48,2011-10-08,21:47:00,"Cliente 48","Endereco 48",00-000-0047,Entrega,27,0,0,2.5,29.5,22:15:00,00:28:00
49,2011-10-08,22:17:00,"Cliente 49","Endereco 49",00-000-0048,Entrega,22,0,0,2.5,24.5,22:40:00,00:23:00
50,2011-10-08,23:12:00,"Cliente 50","Endereco 50",00-000-0049,Entrega,30,0,0,2.5,32.5,23:40:00,00:28:00
51,2011-10-09,18:59:00,"Cliente 51","Endereco 51",00-000-0050,Buscar,31,0,0,0,31,19:35:00,00:36:00
52,2011-10-09,19:18:00,"Cliente 52","Endereco 52",00-000-0051,Buscar,27,0,0,0,27,19:45:00,00:27:00
53,2011-10-09,19:46:00,"Cliente 53","Endereco 53",00-000-0052,Entrega,20,0,0,2.5,22.5,20:11:00,00:25:00
54,2011-10-09,19:52:00,"Cliente 54","Endereco 54",00-000-0053,Buscar,20,0,0,0,20,20:26:00,00:34:00
55,2011-10-09,19:52:00,"Cliente 55","Endereco 55",00-000-0054,Entrega,32,0,4.5,2.5,39,20:30:00,00:38:00
56,2011-10-09,19:57:00,"Cliente 56","Endereco 56",00-000-0055,Entrega,31,0,0,3,34,20:41:00,00:44:00
57,2011-10-09,20:06:00,"Cliente 57","Endereco 57",00-000-0056,Entrega,28,0,0,3,31,20:49:00,00:43:00
58,2011-10-09,20:12:00,"Cliente 58","Endereco 58",00-000-0057,Entrega,22,0,0,3,25,20:57:00,00:45:00
59,2011-10-09,20:25:00,"Cliente 59","Endereco 59",00-000-0058,Entrega,27,0,4,3,34,21:09:00,00:44:00
60,2011-10-09,20:34:00,"Cliente 60","Endereco 60",00-000-0059,Entrega,17,0,0,2.5,19.5,21:21:00,00:47:00
61,2011-10-09,20:37:00,"Cliente 61","Endereco 61",00-000-0060,Buscar,22,2.5,0,0,24.5,21:24:00,00:47:00
62,2011-10-09,21:11:00,"Cliente 62","Endereco 62",00-000-0061,Buscar,17,2.5,0,0,19.5,21:39:00,00:28:00
63,2011-10-09,21:20:00,"Cliente 63","Endereco 63",00-000-0062,Entrega,28,0,0,2.5,30.5,21:56:00,00:36:00
64,2011-10-09,21:46:00,"Cliente 64","Endereco 64",00-000-0063,Buscar,18,0,0,0,18,22:11:00,00:25:00
65,2011-10-11,19:00:00,"Cliente 65","Endereco 65",00-000-0064,Entrega,31,0,0,2.5,33.5,19:32:00,00:32:00
66,2011-10-11,19:12:00,"Cliente 66","Endereco 66",00-000-0065,Entrega,23,0,0,2.5,25.5,19:44:00,00:32:00
67,2011-10-11,20:25:00,"Cliente 67","Endereco 67",00-000-0066,Entrega,20,0,0,2.5,22.5,20:51:00,00:26:00
68,2011-10-11,20:28:00,"Cliente 68","Endereco 68",00-000-0067,Entrega,32,2.5,4.5,2.5,41.5,21:08:00,00:40:00
69,2011-10-11,20:43:00,"Cliente 69","Endereco 69",00-000-0068,Entrega,18,0,0,2.5,20.5,21:20:00,00:37:00
70,2011-10-11,20:43:00,"Cliente 70","Endereco 70",00-000-0069,Entrega,15,0,0,2.5,17.5,21:20:00,00:37:00
71,2011-10-11,21:02:00,"Cliente 71","Endereco 71",00-000-0070,Entrega,26,0,0,2.5,28.5,21:31:00,00:29:00
72,2011-10-11,21:15:00,"Cliente 72","Endereco 72",00-000-0071,Buscar,22,0,0,0,22,21:59:00,00:44:00
73,2011-10-11,21:34:00,"Cliente 73","Endereco 73",00-000-0072,Entrega,27,0,0,2.5,29.5,22:13:00,00:39:00
74,2011-10-11,21:40:00,"Cliente 74","Endereco 74",00-000-0073,Entrega,30,0,0,2.5,32.5,22:15:00,00:35:00
75,2011-10-12,18:30:00,"Cliente 75","Endereco 75",00-000-0074,Entrega,32,0,0,5,37,18:55:00,00:25:00
76,2011-10-12,18:35:00,"Cliente 76","Endereco 76",00-000-0075,Entrega,22,0,0,3,25,19:00:00,00:25:00
77,2011-10-12,18:40:00,"Cliente 77","Endereco 77",00-000-0076,Buscar,23,0,0,0,23,19:10:00,00:30:00
78,2011-10-12,18:50:00,"Cliente 78","Endereco 78",00-000-0077,Entrega,21,0,0,4,25,19:13:00,00:23:00
79,2011-10-12,19:12:00,"Cliente 79","Endereco 79",00-000-0078,Entrega,22,0,0,4,26,19:49:00,00:37:00
80,2011-10-12,19:12:00,"Cliente 80","Endereco 80",00-000-0079,Entrega,30,0,0,4,34,19:53:00,00:41:00
81,2011-10-12,19:20:00,"Cliente 81","Endereco 81",00-000-0080,Entrega,21,0,0,2.5,23.5,19:51:00,00:31:00
82,2011-10-12,19:25:00,"Cliente 82","Endereco 82",00-000-0081,Entrega,23,0,4.5,2.5,30,20:05:00,00:40:00
83,2011-10-12,19:29:00,"Cliente 83","Endereco 83",00-000-0082,Entrega,27,0,0,3,30,20:13:00,00:44:00
84,2011-10-12,19:33:00,"Cliente 84","Endereco 84",00-000-0083,Entrega,23,0,0,2.5,25.5,20:15:00,00:42:00
85,2011-10-12,19:49:00,"Cliente 85","Endereco 85",00-000-0084,Entrega,28,0,4.5,2.5,35,20:41:00,00:52:00
86,2011-10-12,19:53:00,"Cliente 86","Endereco 86",00-000-0085,Entrega,27,0,0,2.5,29.5,20:40:00,00:47:00
87,2011-10-12,20:30:00,"Cliente 87","Endereco 87",00-000-0086,Entrega,27,2.5,0,2.5,32,21:15:00,00:45:00
88,2011-10-12,21:28:00,"Cliente 88","Endereco 88",00-000-0087,Buscar,19,0,0,0,19,21:50:00,00:22:00
89,2011-10-12,21:58:00,"Cliente 89","Endereco 89",00-000-0088,Entrega,27,0,0,2.5,29.5,22:28:00,00:30:00
90,2011-10-12,22:00:00,"Cliente 90","Endereco 90",00-000-0089,Entrega,31,0,4.5,2.5,38,22:32:00,00:32:00
91,2011-10-12,22:23:00,"Cliente 91","Endereco 91",00-000-0090,Entrega,23,0,0,2.5,25.5,22:44:00,00:21:00
92,2011-10-13,18:54:00,"Cliente 92","Endereco 92",00-000-0091,Buscar,18,0,0,0,18,19:35:00,00:41:00
93,2011-10-13,19:00:00,"Cliente 93","Endereco 93",00-000-0092,Entrega,11.5,0,0,2.5,14,19:42:00,00:42:00
94,2011-10-13,20:00:00,"Cliente 94","Endereco 94",00-000-0093,Buscar,14.5,0,0,0,14.5,20:40:00,00:40:00
95,2011-10-13,20:47:00,"Cliente 95","Endereco 95",00-000-0094,Buscar,10,0,0,0,10,21:11:00,00:24:00
96,2011-10-13,21:00:00,"Cliente 96","Endereco 96",00-000-0095,Entrega,22.5,0,0,2.5,25,21:45:00,00:45:00
97,2011-10-13,22:10:00,"Cliente 97","Endereco 97",00-000-0096,Entrega,30,0,0,2.5,32.5,22:50:00,00:40:00
98,2011-10-14,22:20:00,"Cliente 98","Endereco 98",00-000-0097,Buscar,28,0,0,0,28,23:00:00,00:40:00
99,2011-10-14,19:22:00,"Cliente 99","Endereco 99",00-000-0098,Entrega,30,0,0,4,34,19:57:00,00:35:00
100,2011-10-14,19:39:00,"Cliente 100","Endereco 100",00-000-0099,Entrega,23,0,0,2.5,25.5,20:05:00,00:26:00
101,2011-10-14,19:42:00,"Cliente 101","Endereco 101",00-000-0100,Entrega,18,0,0,2.5,20.5,20:18:00,00:36:00
102,2011-10-14,19:50:00,"Cliente 102","Endereco 102",00-000-0101,Buscar,30,0,0,0,30,20:30:00,00:40:00
103,2011-10-14,19:52:00,"Cliente 103","Endereco 103",00-000-0102,Buscar,10,0,0,0,10,20:30:00,00:38:00
104,2011-10-14,19:54:00,"Cliente 104","Endereco 104",00-000-0103,Entrega,31,0,0,3,34,20:45:00,00:51:00
105,2011-10-14,20:01:00,"Cliente 105","Endereco 105",00-000-0104,Buscar,31,0,0,0,31,20:49:00,00:48:00
106,2011-10-14,20:03:00,"Cliente 106","Endereco 106",00-000-0105,Entrega,21,0,0,2.5,23.5,20:54:00,00:51:00
107,2011-10-14,20:15:00,"Cliente 107","Endereco 107",00-000-0106,Entrega,27,0,0,2.5,29.5,21:10:00,00:55:00
108,2011-10-14,20:45:00,"Cliente 108","Endereco 108",00-000-0107,Entrega,28,0,0,2.5,30.5,21:24:00,00:39:00
109,2011-10-14,20:54:00,"Cliente 109","Endereco 109",00-000-0108,Entrega,16,0,0,2.5,18.5,21:33:00,00:39:00
110,2011-10-14,20:55:00,"Cliente 110","Endereco 110",00-000-0109,Buscar,11.5,0,0,0,11.5,21:30:00,00:35:00
111,2011-10-14,21:30:00,"Cliente 111","Endereco 111",00-000-0110,Entrega,11.5,0,0,2.5,14,21:51:00,00:21:00
112,2011-10-14,22:43:00,"Cliente 112","Endereco 112",00-000-0111,Buscar,11.5,0,0,0,11.5,23:05:00,00:22:00
113,2011-10-15,18:10:00,"Cliente 113","Endereco 113",00-000-0112,Buscar,20,0,0,0,20,18:55:00,00:45:00
114,2011-10-15,18:12:00,"Cliente 114","Endereco 114",00-000-0113,Buscar,15,0,0,0,15,18:40:00,00:28:00
115,2011-10-15,18:13:00,"Cliente 115","Endereco 115",00-000-0114,Buscar,22,0,0,0,22,19:00:00,00:47:00
116,2011-10-15,18:14:00,"Cliente 116","Endereco 116",00-000-0115,Buscar,31,0,0,0,31,18:50:00,00:36:00
117,2011-10-15,18:20:00,"Cliente 117","Endereco 117",00-000-0116,Buscar,27,0,0,0,27,19:00:00,00:40:00
118,2011-10-15,19:00:00,"Cliente 118","Endereco 118",00-000-0117,Entrega,28,0,0,2.5,30.5,19:30:00,00:30:00
119,2011-10-15,19:19:00,"Cliente 119","Endereco 119",00-000-0118,Buscar,21,0,0,0,21,19:38:00,00:19:00
120,2011-10-15,19:48:00,"Cliente 120","Endereco 120",00-000-0119,Entrega,23,0,0,2.5,25.5,20:25:00,00:37:00
121,2011-10-15,19:50:00,"Cliente 121","Endereco 121",00-000-0120,Entrega,23,0,0,2.5,25.5,20:35:00,00:45:00
122,2011-10-15,19:50:00,"Cliente 122","Endereco 122",00-000-0121,Entrega,31,0,0,2.5,33.5,20:45:00,00:55:00
123,2011-10-15,20:01:00,"Cliente 123","Endereco 123",00-000-0122,Entrega,31,2.5,0,2.5,36,20:55:00,00:54:00
124,2011-10-15,20:10:00,"Cliente 124","Endereco 124",00-000-0123,Entrega,30,0,0,2.5,32.5,20:55:00,00:45:00
125,2011-10-15,20:15:00,"Cliente 125","Endereco 125",00-000-0124,Entrega,23,0,0,2.5,25.5,21:00:00,00:45:00
126,2011-10-15,20:22:00,"Cliente 126","Endereco 126",00-000-0125,Entrega,20,0,0,2.5,22.5,20:59:00,00:37:00
127,2011-10-15,20:52:00,"Cliente 127","Endereco 127",00-000-0126,Buscar,30,2.5,0,0,32.5,21:25:00,00:33:00
128,2011-10-15,21:10:00,"Cliente 128","Endereco 128",00-000-0127,Entrega,23,0,0,2.5,25.5,21:45:00,00:35:00
129,2011-10-15,21:10:00,"Cliente 129","Endereco 129",00-000-0128,Entrega,23,0,0,2.5,25.5,21:45:00,00:35:00
130,2011-10-15,21:31:00,"Cliente 130","Endereco 130",00-000-0129,Entrega,32,0,0,2.5,34.5,22:05:00,00:34:00
131,2011-10-15,21:52:00,"Cliente 131","Endereco 131",00-000-0130,Buscar,31,0,4,0,35,22:25:00,00:33:00
132,2011-10-15,22:06:00,"Cliente 132","Endereco 132",00-000-0131,Entrega,23,0,0,2.5,25.5,22:33:00,00:27:00
133,2011-10-15,22:10:00,"Cliente 133","Endereco 133",00-000-0132,Buscar,32,0,0,0,32,22:40:00,00:30:00
134,2011-10-15,23:15:00,"Cliente 134","Endereco 134",00-000-0133,Buscar,30,0,0,0,30,23:55:00,00:40:00
135,2011-10-16,22:20:00,"Cliente 135","Endereco 135",00-000-0134,Entrega,18,0,0,2.5,20.5,22:50:00,00:30:00
136,2011-10-16,20:43:00,"Cliente 136","Endereco 136",00-000-0135,Entrega,22,0,0,2.5,24.5,21:15:00,00:32:00
137,2011-10-16,20:49:00,"Cliente 137","Endereco 137",00-000-0136,Entrega,17,0,0,2.5,19.5,21:23:00,00:34:00
138,2011-10-16,20:52:00,"Cliente 138","Endereco 138",00-000-0137,Buscar,23,0,0,0,23,21:24:00,00:32:00
139,2011-10-18,19:10:00,"Cliente 139","Endereco 139",00-000-0138,Entrega,31,0,0,2.5,33.5,19:52:00,00:42:00
140,2011-10-18,19:14:00,"Cliente 140","Endereco 140",00-000-0139,Entrega,31,0,0,2.5,33.5,19:54:00,00:40:00
141,2011-10-18,21:18:00,"Cliente 141","Endereco 141",00-000-0140,Buscar,30,0,0,0,30,21:53:00,00:35:00
142,2011-10-18,21:48:00,"Cliente 142","Endereco 142",00-000-0141,Entrega,22,0,4.5,2.5,29,22:16:00,00:28:00
143,2011-10-18,22:49:00,"Cliente 143","Endereco 143",00-000-0142,Buscar,26,0,0,0,26,23:15:00,00:26:00
144,2011-10-19,19:00:00,"Cliente 144","Endereco 144",00-000-0143,Buscar,18,0,0,0,18,19:40:00,00:40:00
145,2011-10-19,19:15:00,"Cliente 145","Endereco 145",00-000-0144,Entrega,26,0,0,2.5,28.5,19:48:00,00:33:00
146,2011-10-19,19:24:00,"Cliente 146","Endereco 146",00-000-0145,Entrega,32,0,0,3,35,20:04:00,00:40:00
147,2011-10-19,21:15:00,"Cliente 147","Endereco 147",00-000-0146,Entrega,28,0,0,2.5,30.5,21:48:00,00:33:00
148,2011-10-19,21:41:00,"Cliente 148","Endereco 148",00-000-0147,Entrega,32,2.5,0,2.5,37,22:14:00,00:33:00
149,2011-10-19,22:04:00,"Cliente 149","Endereco 149",00-000-0148,Buscar,21,0,0,0,21,22:50:00,00:46:00
150,2011-10-19,22:11:00,"Cliente 150","Endereco 150",00-000-0149,Buscar,15,0,0,0,15,22:38:00,00:27:00
151,2011-10-19,22:25:00,"Cliente 151","Endereco 151",00-000-0150,Buscar,28,0,4.5,0,32.5,23:02:00,00:37:00
152,2011-10-20,19:20:00,"Cliente 152","Endereco 152",00-000-0151,Buscar,26,0,0,0,26,19:40:00,00:20:00
153,2011-10-20,20:00:00,"Cliente 153","Endereco 153",00-000-0152,Buscar,24.5,0,0,0,24.5,20:30:00,00:30:00
154,2011-10-20,20:05:00,"Cliente 154","Endereco 154",00-000-0153,Entrega,24,0,0,4,28,20:45:00,00:40:00
155,2011-10-20,20:10:00,"Cliente 155","Endereco 155",00-000-0154,Buscar,30,0,0,0,39,20:45:00,00:35:00
156,2011-10-20,20:07:00,"Cliente 156","Endereco 156",00-000-0155,Buscar,30,0,0,0,30,20:45:00,00:38:00
157,2011-10-20,20:58:00,"Cliente 157","Endereco 157",00-000-0156,Buscar,14.5,0,0,0,14.5,21:30:00,00:32:00
158,2011-10-20,21:10:00,"Cliente 158","Endereco 158",00-000-0157,Entrega,22.5,0,4.5,1.25,28.25,21:41:00,00:31:00
159,2011-10-20,21:10:00,"Cliente 159","Endereco 159",00-000-0158,Buscar,20,0,0,0,20,21:41:00,00:31:00
160,2011-10-20,22:00:00,"Cliente 160","Endereco 160",00-000-0159,Buscar,19,0,0,0,19,22:25:00,00:25:00
161,2011-10-20,22:10:00,"Cliente 161","Endereco 161",00-000-0160,Entrega,25.5,0,0,2.5,28,23:00:00,00:50:00
162,2011-10-20,22:40:00,"Cliente 162","Endereco 162",00-000-0161,Buscar,18.5,0,0,0,18.5,23:15:00,00:35:00
163,2011-10-21,19:44:00,"Cliente 163","Endereco 163",00-000-0162,Entrega,23,0,4,3,30,20:18:00,00:34:00
164,2011-10-21,19:48:00,"Cliente 164","Endereco 164",00-000-0163,Buscar,17,0,0,0,17,20:30:00,00:42:00
165,2011-10-21,19:48:00,"Cliente 165","Endereco 165",00-000-0164,Buscar,28,0,0,0,28,20:30:00,00:42:00
166,2011-10-21,20:27:00,"Cliente 166","Endereco 166",00-000-0165,Entrega,27,0,4.5,4,35.5,21:10:00,00:43:00
167,2011-10-21,20:45:00,"Cliente 167","Endereco 167",00-000-0166,Entrega,28,0,0,2.5,30.5,21:28:00,00:43:00
168,2011-10-21,20:45:00,"Cliente 168","Endereco 168",00-000-0167,Entrega,28,0,0,2.5,30.5,21:28:00,00:43:00
169,2011-10-21,20:49:00,"Cliente 169","Endereco 169",00-000-0168,Entrega,28,0,0,3,31,21:26:00,00:37:00
170,2011-10-21,21:08:00,"Cliente 170","Endereco 170",00-000-0169,Entrega,23,0,0,3,26,21:48:00,00:40:00
171,2011-10-21,21:13:00,"Cliente 171","Endereco 171",00-000-0170,Entrega,22,0,0,3,25,21:48:00,00:35:00
172,2011-10-21,21:21:00,"Cliente 172","Endereco 172",00-000-0171,Buscar,23,0,0,0,23,22:00:00,00:39:00
173,2011-10-21,21:29:00,"Cliente 173","Endereco 173",00-000-0172,Entrega,28,2.5,0,2.5,33,22:03:00,00:34:00
174,2011-10-21,21:39:00,"Cliente 174","Endereco 174",00-000-0173,Entrega,32,0,0,2.5,34.5,22:17:00,00:38:00
175,2011-10-21,22:10:00,"Cliente 175","Endereco 175",00-000-0174,Buscar,23,0,0,0,23,22:40:00,00:30:00
176,2011-10-21,22:28:00,"Cliente 176","Endereco 176",00-000-0175,Buscar,22,0,0,0,22,22:50:00,00:22:00
177,2011-10-21,22:45:00,"Cliente 177","Endereco 177",00-000-0176,Entrega,22,0,0,3,25,23:15:00,00:30:00
178,2011-10-22,18:40:00,"Cliente 178","Endereco 178",00-000-0177,Buscar,28,0,0,0,28,19:00:00,00:20:00
179,2011-10-22,18:45:00,"Cliente 179","Endereco 179",00-000-0178,Entrega,32,0,0,3,35,19:20:00,00:35:00
180,2011-10-22,18:50:00,"Cliente 180","Endereco 180",00-000-0179,Buscar,31,0,0,0,31,19:25:00,00:35:00
181,2011-10-22,18:55:00,"Cliente 181","Endereco 181",00-000-0180,Entrega,22.5,0,0,2.5,25,19:30:00,00:35:00
182,2011-10-22,18:58:00,"Cliente 182","Endereco 182",00-000-0181,Buscar,31,2.5,0,0,33.5,19:40:00,00:42:00
183,2011-10-22,19:00:00,"Cliente 183","Endereco 183",00-000-0182,Buscar,28,0,0,0,28,19:45:00,00:45:00
184,2011-10-22,19:05:00,"Cliente 184","Endereco 184",00-000-0183,Buscar,17,0,0,0,17,19:45:00,00:40:00
185,2011-10-22,19:10:00,"Cliente 185","Endereco 185",00-000-0184,Buscar,31,0,0,0,31,20:00:00,00:50:00
186,2011-10-22,19:15:00,"Cliente 186","Endereco 186",00-000-0185,Entrega,28,0,0,2.5,30.5,19:55:00,00:40:00
187,2011-10-22,19:20:00,"Cliente 187","Endereco 187",00-000-0186,Buscar,30,0,9,0,39,19:55:00,00:35:00
188,2011-10-22,19:54:00,"Cliente 188","Endereco 188",00-000-0187,Entrega,31,2.5,0,3,36.5,20:26:00,00:32:00
189,2011-10-22,20:11:00,"Cliente 189","Endereco 189",00-000-0188,Buscar,30,0,0,0,30,20:45:00,00:34:00
190,2011-10-22,20:15:00,"Cliente 190","Endereco 190",00-000-0189,Entrega,22,0,0,3,25,20:50:00,00:35:00
191,2011-10-22,20:18:00,"Cliente 191","Endereco 191",00-000-0190,Buscar,22,0,0,0,22,20:53:00,00:35:00
192,2011-10-22,20:24:00,"Cliente 192","Endereco 192",00-000-0191,Buscar,26,0,0,0,26,21:05:00,00:41:00
193,2011-10-22,20:32:00,"Cliente 193","Endereco 193",00-000-0192,Entrega,30,0,0,4,34,21:07:00,00:35:00
194,2011-10-22,20:42:00,"Cliente 194","Endereco 194",00-000-0193,Entrega,26,0,0,3,29,21:18:00,00:36:00
195,2011-10-22,20:46:00,"Cliente 195","Endereco 195",00-000-0194,Entrega,32,0,0,2.5,34.5,21:27:00,00:41:00
196,2011-10-22,21:02:00,"Cliente 196","Endereco 196",00-000-0195,Entrega,28,0,0,3,31,21:47:00,00:45:00
197,2011-10-22,21:06:00,"Cliente 197","Endereco 197",00-000-0196,Entrega,23,2.5,0,4,29.5,21:47:00,00:41:00
198,2011-10-22,21:08:00,"Cliente 198","Endereco 198",00-000-0197,Entrega,31,0,0,2.5,33.5,22:02:00,00:54:00
199,2011-10-22,21:08:00,"Cliente 199","Endereco 199",00-000-0198,Buscar,23,0,0,0,23,22:02:00,00:54:00
200,2011-10-22,21:10:00,"Cliente 200","Endereco 200",00-000-0199,Entrega,31,0,0,3,34,22:00:00,00:50:00
201,2011-10-22,21:13:00,"Cliente 201","Endereco 201",00-000-0200,Entrega,21,0,0,2.5,23.5,22:00:00,00:47:00
202,2011-10-22,21:20:00,"Cliente 202","Endereco 202",00-000-0201,Buscar,30,0,0,0,30,22:05:00,00:45:00
203,2011-10-22,21:38:00,"Cliente 203","Endereco 203",00-000-0202,Entrega,27,0,4.5,2.5,34,22:10:00,00:32:00
204,2011-10-22,21:51:00,"Cliente 204","Endereco 204",00-000-0203,Entrega,32,0,0,2.5,34.5,22:45:00,00:54:00
205,2011-10-22,21:55:00,"Cliente 205","Endereco 205",00-000-0204,Buscar,23,2.5,0,0,25.5,22:50:00,00:55:00
206,2011-10-22,21:55:00,"Cliente 206","Endereco 206",00-000-0205,Entrega,21,0,0,2.5,23.5,22:49:00,00:54:00
207,2011-10-22,22:42:00,"Cliente 207","Endereco 207",00-000-0206,Entrega,32,0,0,2.5,34.5,23:32:00,00:50:00
208,2011-10-22,22:42:00,"Cliente 208","Endereco 208",00-000-0207,Buscar,32,0,0,0,32,23:15:00,00:33:00
